Book Name,Author,Rating,Customers_Rated,Price
Golden Poppies: A Novel,Laila Ibrahim,4.3 out of 5 stars,225,$4.99
IOU: A Romantic Comedy,Kristy Marie,4.7 out of 5 stars,195,$3.99
Queen of Air and Darkness (The Dark Artifices Book 3),Cassandra Clare,4.6 out of 5 stars,"1,448",$11.99
Asher (Ashes & Embers Book 6),Carian Cole,4.9 out of 5 stars,220,$4.99
The Playground Murders: the gripping new thriller from the Sunday Times Crime Club pick (The Detective's Daughter Book 7),Lesley Thomson,4.4 out of 5 stars,79,$0.99
What the Wind Knows,Amy Harmon,4.7 out of 5 stars,"6,431",$4.99
Born a Crime: Stories from a South African Childhood,Trevor Noah,4.8 out of 5 stars,"11,944",$4.99
The Sea Glass Cottage: A Novel,RaeAnne Thayne,4.5 out of 5 stars,138,$2.99
"More Mexican Everyday: Simple, Seasonal, Celebratory",Rick Bayless,4.6 out of 5 stars,99,$2.99
American Dirt (Oprah's Book Club): A Novel,Jeanine Cummins,4.5 out of 5 stars,"3,324",$14.99
"The Silent Daughter: A gripping pageturner of family secrets, with a twist you won't see coming",Claire Amarti,4.3 out of 5 stars,68,$0.99
Where the Crawdads Sing,Delia Owens,4.8 out of 5 stars,"49,076",$14.99
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6 out of 5 stars,"7,416",$8.69
That Boy: A Small Town Friends-to-Lovers Romance (That Boy Series Book 1),Jillian Dodd,4.3 out of 5 stars,"1,144",$9.99
"Unlimited Memory: How to Use Advanced Learning Strategies to Learn Faster, Remember More and be More Productive",Kevin Horsley,4.6 out of 5 stars,"2,500",$9.99
This Alien Shore,C.S. Friedman,4.4 out of 5 stars,82,$1.99
Five Fortunes,Beth Gutcheon,3.9 out of 5 stars,27,$1.99
Faking It with the Frenemy: An Enemies-to-Lovers Romantic Comedy,Nadia Lee,4.5 out of 5 stars,65,$3.99
A Conspiracy of Faith: A Department Q Novel (Department Q Series Book 3),Jussi Adler-Olsen,4.6 out of 5 stars,533,$1.99
Chill Factor: A Novel,Sandra Brown,4.5 out of 5 stars,"1,117",$8.99
Alaskan Refuge Christian Suspense Box Set  (Books 1-3),Alana Terry,4.5 out of 5 stars,21,$0.99
By a Thread: A Grumpy Boss Romantic Comedy,Lucy Score,4.8 out of 5 stars,"1,159",$2.99
Beautifully Cruel,J.T. Geissinger,4.8 out of 5 stars,312,$3.99
"Arctic Incident, The (Artemis Fowl, Book 2)",Eoin Colfer,4.6 out of 5 stars,543,$0.99
Big Summer: A Novel,Jennifer Weiner,3.9 out of 5 stars,315,$14.99
"The Gig Economy: The Complete Guide to Getting Better Work, Taking More Time Off, and Financing the Life You Want",Diane Mulcahy,4.6 out of 5 stars,101,$0.25
"Stamped: Racism, Antiracism, and You: A Remix of the National Book Award-winning Stamped from the Beginning",Jason Reynolds,4.8 out of 5 stars,125,$9.99
The Hero,Lee Child,3.4 out of 5 stars,802,$0.99
A Killer's Wife (Desert Plains Book 1),Victor Methos,4.5 out of 5 stars,"2,777",$1.99
Lady Midnight (The Dark Artifices Book 1),Cassandra Clare,4.7 out of 5 stars,"2,297",$10.99
The Modern Gentleman,Meghan Quinn,4.5 out of 5 stars,240,$3.99
"Opal Deception, The (Artemis Fowl, Book 4)",Eoin Colfer,4.7 out of 5 stars,424,$0.99
Separate Is Never Equal: Sylvia Mendez and Her Family's Fight for Desegregation: Sylvia Mendez and Her Familys Fight for Desegregation (Jane Addams Award Book (Awards)),Duncan Tonatiuh,4.8 out of 5 stars,215,$9.99
Star Wars: Ahsoka,E. K. Johnston,4.6 out of 5 stars,"1,828",$0.99
The Star and the Shamrock,Jean Grainger,4.7 out of 5 stars,"1,281",$6.99
The Book of Revelation Made Clear: A User-Friendly Look at the Bible’s Most Complicated Book,Douglas Connelly,4.6 out of 5 stars,8,$1.99
"Eternity Code, The (Artemis Fowl, Book 3)",Eoin Colfer,4.6 out of 5 stars,397,$0.99
Lord of Shadows (The Dark Artifices Book 2),Cassandra Clare,4.7 out of 5 stars,"1,651",$10.99
When She Returned,Lucinda Berry,4.5 out of 5 stars,841,$4.99
"Lost Colony, The (Artemis Fowl, Book 5)",Eoin Colfer,4.7 out of 5 stars,403,$0.99
Master Your Emotions: A Practical Guide to Overcome Negativity and Better Manage Your Feelings (Mastery Series Book 1),thibaut meurisse,4.6 out of 5 stars,404,$3.99
"Time Paradox, The (Artemis Fowl, Book 6)",Eoin Colfer,4.6 out of 5 stars,408,$0.99
Protecting You: A Small Town Romance Origin Story (The Bailey Brothers Book 1),Claire Kingsley,4.9 out of 5 stars,230,$2.99
Celestial Bodies,Jokha Alharthi,3.8 out of 5 stars,202,$1.99
The Giving Tree,Shel Silverstein,4.8 out of 5 stars,"6,422",$10.99
The Vanishing Half: A Novel,Brit Bennett,4.5 out of 5 stars,9,$13.99
The Vampire Debt (Shadow World: The Vampire Debt Book 1),Ali Winters,4.3 out of 5 stars,18,$0.99
Say You Do,Weston Parker,4.7 out of 5 stars,159,$3.99
The Color of Law: A Forgotten History of How Our Government Segregated America,Richard Rothstein,4.8 out of 5 stars,859,$7.99
Find Me (Inland Empire Book 1),Anne Frasier,4.4 out of 5 stars,37,$4.99
Opium and Absinthe: A Novel,Lydia Kang,4.8 out of 5 stars,12,$4.99
Unreported Truths about COVID-19 and Lockdowns: Part 1: Introduction and Death Counts and Estimates,Alex Berenson,4.7 out of 5 stars,163,$2.99
Never Look Back,Mary Burton,4.3 out of 5 stars,29,$4.99
Someone Else's Secret: A Novel,Julia Spiro,3.7 out of 5 stars,18,$4.99
White Fragility: Why It's So Hard for White People to Talk About Racism,Robin J. DiAngelo,4.4 out of 5 stars,"1,610",$12.99
The Bone Jar (Detective Lew Kirby Book 1),S W Kane,4.1 out of 5 stars,8,$4.99
The Lending Library: A Novel,Aliza Fogelson,3.6 out of 5 stars,17,$4.99
How to Be an Antiracist,Ibram X. Kendi,4.8 out of 5 stars,470,$14.99
Scarlet Odyssey,C. T. Rwizi,3.3 out of 5 stars,6,$4.99
"Me and White Supremacy: Combat Racism, Change the World, and Become a Good Ancestor",Layla F. Saad,4.6 out of 5 stars,81,$2.99
Artemis Fowl,Eoin Colfer,4.4 out of 5 stars,"1,756",$0.99
